tns_index,epoch,length_tns,pkt_type,len_mode,frame_numbers,conn_id,direction,src_ip,src_port,dst_ip,dst_port,canon_a_ip,canon_a_port,canon_b_ip,canon_b_port,pdu_index_in_conn,delta_t_in_conn,conn_len,direction_num
3053,1742830308.855469,299,6,len4,1109,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,756,0.00020503997802734372,5474,0.0
376,1742830312.368903,164,6,len4,1114,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,759,0.09213685989379884,5474,1.0
377,1742830312.3997269,514,6,len4,1117,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,761,0.03069019317626953,5474,1.0
378,1742830312.441623,183,6,len4,1120,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,763,0.04169487953186035,5474,1.0
3059,1742830312.495436,291,6,len4,1128,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,768,0.0004298686981201172,5474,0.0
388,1742830313.295609,447,6,len4,1148,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,783,0.016735076904296875,5474,1.0
396,1742830313.411053,1218,6,len4,1166,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,799,0.017345905303955078,5474,1.0
397,1742830313.428217,183,6,len4,1171,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,801,0.016719818115234375,5474,1.0
3082,1742830313.529952,4311,6,len4,"1186,1187,1188",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,814,0.0002601146697998047,5474,0.0
404,1742830313.547451,607,6,len4,1190,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,815,0.01749897003173828,5474,1.0
